office.qq.com                 	183.3.226.15
mp3.qq.com                    	27.221.81.95,123.125.9.87,111.206.15.84
flash.qq.com                  	111.161.64.40,111.161.64.48
io.qq.com                     	0.0.0.1
mx1.qq.com                    	157.255.173.201
calendar.qq.com               	123.126.122.29,111.161.111.119
whois.qq.com                  	0.0.0.1
mh.qq.com                     	123.125.110.17,123.125.110.18,123.125.110.16,123.125.110.27,123.125.9.11
mr.qq.com                     	0.0.0.1
kh.qq.com                     	123.125.110.27,123.125.9.11,123.125.110.17,123.125.110.18,123.125.110.16
lr.qq.com                     	111.206.15.66
ny.qq.com                     	123.125.110.18,123.125.110.16,123.125.110.27,123.125.9.11,123.125.110.17
hub.qq.com                    	0.0.0.1
nm.qq.com                     	111.161.64.48,111.161.64.40
qa.qq.com                     	0.0.0.1
events.qq.com                 	0.0.0.1
xmail.qq.com                  	0.0.0.1
app1.qq.com                   	0.0.0.1
re.qq.com                     	123.151.137.18
tf.qq.com                     	0.0.0.1
vc.qq.com                     	0.0.0.1
tp.qq.com                     	58.250.136.104
apollo.qq.com                 	0.0.0.1
kg.qq.com                     	123.125.9.87,111.206.15.84,27.221.81.95
ns2.qq.com                    	123.151.66.78,121.51.160.100,203.205.177.41
mac.qq.com                    	111.161.64.31,111.161.64.30
mall.qq.com                   	220.194.87.100
b2b.qq.com                    	163.177.84.33
av.qq.com                     	0.0.0.1
nz.qq.com                     	124.236.35.13,106.117.248.167,106.117.248.169,124.236.35.12,103.18.209.117,124.236.35.11
imap.qq.com                   	58.251.139.219,163.177.72.198
disk.qq.com                   	140.207.127.60
cloud.qq.com                  	119.29.47.192,119.29.42.201
weixin.qq.com                 	61.151.224.41,61.151.183.16,101.227.169.159
webproxy.qq.com               	163.177.68.177,163.177.68.188
meet.qq.com                   	58.247.205.183
hb.qq.com                     	125.39.52.26
list.qq.com                   	0.0.0.1
mms.qq.com                    	58.247.205.183
dns1.qq.com                   	219.133.41.245
ticket.qq.com                 	0.0.0.1
mobi.qq.com                   	58.247.205.183
fc.qq.com                     	111.230.189.144
mars.qq.com                   	0.0.0.1
z.qq.com                      	42.81.85.253
cf.qq.com                     	123.125.110.27,123.125.9.11,123.125.110.17,123.125.110.18,123.125.110.16
wl.qq.com                     	0.0.0.1
sns.qq.com                    	0.0.0.1
hg.qq.com                     	111.206.15.66
hs.qq.com                     	123.125.9.11,123.125.110.17,123.125.110.18,123.125.110.16,123.125.110.27
cy.qq.com                     	125.39.52.26
yun.qq.com                    	119.29.47.192,119.29.42.201
mag.qq.com                    	0.0.0.1
qq.qq.com                     	123.125.110.17,123.125.110.18,123.125.110.16,123.125.110.27,123.125.9.11
baby.qq.com                   	125.39.52.26
aaa.qq.com                    	111.206.15.66
sale.qq.com                   	42.81.85.253
tb.qq.com                     	183.61.32.181
film.qq.com                   	119.249.49.21,220.194.87.36,220.194.87.37,220.194.87.38,220.194.87.39,220.194.87.41,220.194.87.40
oracle.qq.com                 	58.247.205.183
df.qq.com                     	0.0.0.1
tel.qq.com                    	58.247.205.183
recruit.qq.com                	123.151.26.114
widget.qq.com                 	220.194.95.156
pd.qq.com                     	220.194.95.185
wow.qq.com                    	0.0.0.1
volunteer.qq.com              	163.177.68.211
ssp.qq.com                    	58.250.137.46
jt.qq.com                     	0.0.0.1
jl.qq.com                     	111.161.64.40,111.161.64.48
pin.qq.com                    	123.125.110.27,123.125.9.11,123.125.110.17,123.125.110.18,123.125.110.16
ep.qq.com                     	123.125.110.27,123.125.9.11,123.125.110.17,123.125.110.18,123.125.110.16
jg.qq.com                     	112.90.77.139
ics.qq.com                    	0.0.0.1
player.qq.com                 	220.194.87.36,220.194.87.37,220.194.87.38,220.194.87.39,220.194.87.41,220.194.87.40,119.249.49.21
fashion.qq.com                	123.151.137.18
ea.qq.com                     	0.0.0.1
match.qq.com                  	0.0.0.1
find.qq.com                   	59.37.116.35
jb.qq.com                     	0.0.0.1
gaia.qq.com                   	0.0.0.1
aurora.qq.com                 	125.39.83.113
trace.qq.com                  	220.194.95.159,111.161.112.111,125.39.133.31,111.161.111.47
att.qq.com                    	0.0.0.1
chart.qq.com                  	183.61.38.179
robot.qq.com                  	0.0.0.1
panda.qq.com                  	58.251.81.197
verify.qq.com                 	163.177.68.211
ti.qq.com                     	123.151.137.123
tts.qq.com                    	125.39.83.109
sanguo.qq.com                 	123.125.110.27,123.125.110.18,123.125.110.16,123.125.110.17,123.125.9.11
sds.qq.com                    	123.125.9.11,123.125.110.17,123.125.110.18,123.125.110.16,123.125.110.27
lj.qq.com                     	125.39.133.27
g2.qq.com                     	0.0.0.1
key.qq.com                    	123.125.110.17,123.125.110.18,123.125.110.16,123.125.110.27,123.125.9.11
t3.qq.com                     	123.125.110.27,123.125.9.11,123.125.110.17,123.125.110.18,123.125.110.16
nike.qq.com                   	0.0.0.1
bbs1.qq.com                   	0.0.0.1
dps.qq.com                    	0.0.0.1
xin.qq.com                    	58.247.205.183
xd.qq.com                     	123.125.9.11,123.125.110.17,123.125.110.18,123.125.110.16,123.125.110.27
skin.qq.com                   	0.0.0.1
hx.qq.com                     	123.125.110.16,123.125.110.18,123.125.110.17,123.125.9.11,123.125.110.27
dq.qq.com                     	0.0.0.1
m5.qq.com                     	111.161.64.31,111.161.64.30
qp.qq.com                     	0.0.0.1
w5.qq.com                     	0.0.0.1
zixun.qq.com                  	0.0.0.1
lian.qq.com                   	0.0.0.1
face.qq.com                   	163.177.90.110
csa.qq.com                    	172.23.20.33
joke.qq.com                   	125.39.52.26
hospital.qq.com               	111.161.111.119,123.126.122.29
xq.qq.com                     	0.0.0.1
circle.qq.com                 	220.194.95.156
tps.qq.com                    	123.125.9.11,123.125.110.17,123.125.110.18,123.125.110.16,123.125.110.27
kid.qq.com                    	125.39.52.26
lottery.qq.com                	10.136.12.100,10.136.12.103
oauth.qq.com                  	0.0.0.1
51.qq.com                     	0.0.0.1
epic.qq.com                   	123.125.9.11,123.125.110.17,123.125.110.18,123.125.110.16,123.125.110.27
kaoshi.qq.com                 	0.0.0.1
gongyi.qq.com                 	125.39.52.26
sm.qq.com                     	0.0.0.1
as.qq.com                     	103.18.209.117,124.236.35.11,106.117.248.167,124.236.35.13,106.117.248.169,124.236.35.12
l.qq.com                      	125.39.133.48
kp.qq.com                     	123.151.176.32,123.151.71.101
gold.qq.com                   	0.0.0.1
xp.qq.com                     	0.0.0.1
css.qq.com                    	0.0.0.1
wt.qq.com                     	123.125.110.16,123.125.110.27,123.125.9.11,123.125.110.17,123.125.110.18
audit.qq.com                  	0.0.0.1
nw.qq.com                     	0.0.0.1
planet.qq.com                 	111.161.64.48,111.161.64.40
editor.qq.com                 	183.3.225.109
reader.qq.com                 	140.207.189.105,140.207.54.87
apex.qq.com                   	0.0.0.1
dance.qq.com                  	103.18.209.117,124.236.35.12,106.117.248.169,106.117.248.167,124.236.35.13,124.236.35.11
fg.qq.com                     	123.151.26.115
europa.qq.com                 	0.0.0.1
