home.qq.com                   	183.57.48.23
mms.qq.com                    	58.247.205.183
yun.qq.com                    	119.29.42.201,119.29.47.192
mars.qq.com                   	0.0.0.1
wl.qq.com                     	0.0.0.1
cf.qq.com                     	123.125.9.14,123.125.9.13,123.125.110.17,123.125.9.15,123.125.110.27,123.125.9.12,123.125.110.18,123.125.110.16
cy.qq.com                     	125.39.52.26
aaa.qq.com                    	111.206.15.66
mag.qq.com                    	0.0.0.1
baby.qq.com                   	125.39.52.26
tel.qq.com                    	58.247.205.183
sale.qq.com                   	220.194.87.100
tb.qq.com                     	183.61.32.181
recruit.qq.com                	125.39.83.11
pd.qq.com                     	220.194.95.185
oracle.qq.com                 	58.247.205.183
audit.qq.com                  	0.0.0.1
df.qq.com                     	0.0.0.1
film.qq.com                   	220.194.87.41,220.194.87.37,220.194.87.38,119.249.49.21,220.194.87.40,220.194.87.36,220.194.87.39
reader.qq.com                 	61.151.224.47,101.226.76.145
volunteer.qq.com              	163.177.68.211
ssp.qq.com                    	58.250.137.46
jt.qq.com                     	0.0.0.1
xg.qq.com                     	58.250.136.63
wow.qq.com                    	0.0.0.1
editor.qq.com                 	58.250.136.118
planet.qq.com                 	111.161.64.40,111.161.64.48
jl.qq.com                     	111.161.64.40,111.161.64.48
fashion.qq.com                	125.39.52.26
pin.qq.com                    	123.125.9.13,123.125.110.17,123.125.9.15,123.125.110.27,123.125.9.12,123.125.110.18,123.125.110.16,123.125.9.14
ea.qq.com                     	0.0.0.1
yule.qq.com                   	111.161.64.40,111.161.64.48
jg.qq.com                     	183.61.38.179
ep.qq.com                     	123.125.110.18,123.125.110.16,123.125.9.14,123.125.9.13,123.125.110.17,123.125.9.15,123.125.110.27,123.125.9.12
dance.qq.com                  	123.125.9.13,123.125.110.17,123.125.9.15,123.125.110.27,123.125.9.12,123.125.110.18,123.125.110.16,123.125.9.14
find.qq.com                   	59.37.116.35
jb.qq.com                     	0.0.0.1
aurora.qq.com                 	125.39.83.113
gaia.qq.com                   	0.0.0.1
match.qq.com                  	0.0.0.1
apex.qq.com                   	0.0.0.1
mark.qq.com                   	163.177.84.24
chart.qq.com                  	183.61.38.179
att.qq.com                    	0.0.0.1
robot.qq.com                  	0.0.0.1
widget.qq.com                 	220.194.95.156
lj.qq.com                     	125.39.133.27
verify.qq.com                 	163.177.68.211
key.qq.com                    	123.125.110.17,123.125.9.15,123.125.110.27,123.125.9.12,123.125.110.18,123.125.110.16,123.125.9.14,123.125.9.13
ti.qq.com                     	123.151.137.123
sds.qq.com                    	123.125.110.16,123.125.9.14,123.125.9.13,123.125.110.17,123.125.9.15,123.125.110.27,123.125.9.12,123.125.110.18
t3.qq.com                     	123.125.9.12,123.125.110.18,123.125.110.16,123.125.9.14,123.125.9.13,123.125.110.17,123.125.9.15,123.125.110.27
sanguo.qq.com                 	123.125.9.14,123.125.9.13,123.125.110.17,123.125.9.15,123.125.110.27,123.125.9.12,123.125.110.18,123.125.110.16
xd.qq.com                     	123.125.110.18,123.125.110.16,123.125.9.14,123.125.9.13,123.125.110.17,123.125.9.15,123.125.110.27,123.125.9.12
cmp.qq.com                    	0.0.0.1
nike.qq.com                   	0.0.0.1
panda.qq.com                  	58.251.81.197
bbs1.qq.com                   	0.0.0.1
dps.qq.com                    	0.0.0.1
skin.qq.com                   	0.0.0.1
w5.qq.com                     	0.0.0.1
hx.qq.com                     	123.125.9.12,123.125.110.18,123.125.110.16,123.125.9.14,123.125.9.13,123.125.110.17,123.125.9.15,123.125.110.27
europa.qq.com                 	0.0.0.1
dq.qq.com                     	0.0.0.1
lian.qq.com                   	0.0.0.1
m5.qq.com                     	111.161.64.31,111.161.64.30
csa.qq.com                    	172.23.20.33
zixun.qq.com                  	0.0.0.1
tps.qq.com                    	123.125.110.27,123.125.9.12,123.125.110.18,123.125.110.16,123.125.9.14,123.125.9.13,123.125.110.17,123.125.9.15
hospital.qq.com               	111.161.111.119,123.126.122.29
joke.qq.com                   	123.151.137.18
qp.qq.com                     	0.0.0.1
kid.qq.com                    	125.39.52.26
epic.qq.com                   	123.125.110.17,123.125.9.15,123.125.110.27,123.125.9.12,123.125.110.18,123.125.110.16,123.125.9.14,123.125.9.13
oauth.qq.com                  	0.0.0.1
xq.qq.com                     	0.0.0.1
lottery.qq.com                	10.136.12.103,10.136.12.100
circle.qq.com                 	220.194.95.156
gongyi.qq.com                 	123.151.137.18
kaoshi.qq.com                 	0.0.0.1
51.qq.com                     	0.0.0.1
tq.qq.com                     	123.126.122.29,111.161.111.119
mp3.qq.com                    	42.81.85.217
io.qq.com                     	0.0.0.1
xmail.qq.com                  	0.0.0.1
xp.qq.com                     	0.0.0.1
av.qq.com                     	0.0.0.1
hb.qq.com                     	123.151.137.18
nw.qq.com                     	0.0.0.1
water.qq.com                  	0.0.0.1
player.qq.com                 	220.194.87.41,220.194.87.37,220.194.87.38,119.249.49.21,220.194.87.40,220.194.87.36,220.194.87.39
ics.qq.com                    	0.0.0.1
trace.qq.com                  	220.194.95.159,111.161.112.111,125.39.133.31,111.161.111.47
xin.qq.com                    	61.151.168.204
g2.qq.com                     	0.0.0.1
